CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
1   1553.031697    0.000085  0.000013  ...  0.000012  7.745714e+06  1.734086e+09
2   1553.031698    0.000084  0.000012  ...  0.000012  7.748212e+06  1.734086e+09
3   1553.031626    0.000087  0.000013  ...  0.000012  7.745892e+06  1.734086e+09
4   1553.031553    0.000084  0.000012  ...  0.000012  7.750863e+06  1.734086e+09
5   1553.031599    0.000086  0.000013  ...  0.000012  7.743250e+06  1.734086e+09
6   1553.031655    0.000087  0.000013  ...  0.000012  7.749803e+06  1.734087e+09
7   1553.031565    0.000086  0.000013  ...  0.000012  7.750109e+06  1.734087e+09
8   1553.031412    0.000087  0.000013  ...  0.000012  7.741714e+06  1.734087e+09
9   1553.031446    0.000084  0.000012  ...  0.000012  7.746826e+06  1.734087e+09
10  1553.031515    0.000088  0.000014  ...  0.000012  7.755757e+06  1.734087e+09
11  1553.031503    0.000089  0.000014  ...  0.000012  7.746225e+06  1.734087e+09
12  1553.031648    0.000085  0.000013  ...  0.000012  7.748841e+06  1.734086e+09
13  1553.031458    0.000088  0.000013  ...  0.000012  7.747911e+06  1.734087e+09
14  1553.031418    0.000088  0.000013  ...  0.000012  7.744725e+06  1.734087e+09
15  1553.031569    0.000085  0.000013  ...  0.000012  7.749673e+06  1.734087e+09
16  1553.031561    0.000087  0.000013  ...  0.000012  7.748326e+06  1.734087e+09
17  1553.031440    0.000086  0.000013  ...  0.000012  7.740620e+06  1.734087e+09
18  1553.031357    0.000087  0.000013  ...  0.000012  7.746984e+06  1.734087e+09
19  1553.031633    0.000088  0.000013  ...  0.000012  7.751293e+06  1.734086e+09
20  1553.031677    0.000087  0.000013  ...  0.000012  7.752099e+06  1.734086e+09
21  1553.031740    0.000086  0.000013  ...  0.000012  7.756508e+06  1.734086e+09
22  1553.031611    0.000087  0.000013  ...  0.000012  7.747782e+06  1.734086e+09
23  1553.031616    0.000085  0.000013  ...  0.000012  7.739393e+06  1.734086e+09
24  1553.031593    0.000086  0.000013  ...  0.000012  7.747615e+06  1.734086e+09
25  1553.031462    0.000087  0.000013  ...  0.000012  7.748478e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_11
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1554.039452    0.000065  0.000008  ...  0.000012  7.757397e+06  1.734086e+09
1   1554.039396    0.000071  0.000009  ...  0.000012  7.700881e+06  1.734086e+09
2   1554.039291    0.000068  0.000009  ...  0.000012  7.715845e+06  1.734086e+09
3   1554.039365    0.000069  0.000009  ...  0.000012  7.724034e+06  1.734086e+09
4   1554.039301    0.000068  0.000009  ...  0.000012  7.728117e+06  1.734086e+09
5   1554.039272    0.000067  0.000009  ...  0.000012  7.709375e+06  1.734086e+09
6   1554.039319    0.000068  0.000009  ...  0.000012  7.732860e+06  1.734087e+09
7   1554.039319    0.000067  0.000009  ...  0.000012  7.720653e+06  1.734087e+09
8   1554.039209    0.000070  0.000009  ...  0.000012  7.716993e+06  1.734087e+09
9   1554.039303    0.000066  0.000008  ...  0.000012  7.744554e+06  1.734087e+09
10  1554.039189    0.000070  0.000009  ...  0.000012  7.739128e+06  1.734087e+09
11  1554.039208    0.000069  0.000009  ...  0.000012  7.725625e+06  1.734087e+09
12  1554.039495    0.000068  0.000009  ...  0.000012  7.710665e+06  1.734086e+09
13  1554.039351    0.000067  0.000009  ...  0.000012  7.713256e+06  1.734087e+09
